gender id vowel accuracy iy ih ei eh ae ah aw oa oo uw uh er vote
m 11 ah 100.0 0 0 0 0 0 20 0 0 0 0 0 0 ah
m 11 aw 55.0 0 0 0 0 0 9 11 0 0 0 0 0 aw
m 11 eh 90.0 0 0 0 18 2 0 0 0 0 0 0 0 eh
m 11 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
m 11 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 11 ih 100.0 0 20 0 0 0 0 0 0 0 0 0 0 ih
m 11 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 11 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
m 11 oo 95.0 0 0 0 0 0 0 0 0 19 0 0 1 oo
m 11 uh 90.0 0 0 0 0 0 0 1 0 1 0 18 0 uh
m 11 uw 100.0 0 0 0 0 0 0 0 0 0 20 0 0 uw
m 13 ae 100.0 0 0 0 0 20 0 0 0 0 0 0 0 ae
m 13 ah 100.0 0 0 0 0 0 20 0 0 0 0 0 0 ah
m 13 aw 90.0 0 0 0 0 0 2 18 0 0 0 0 0 aw
m 13 eh 65.0 0 0 0 13 7 0 0 0 0 0 0 0 eh
m 13 ei 95.0 0 0 19 0 0 1 0 0 0 0 0 0 ei
m 13 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 13 ih 100.0 0 20 0 0 0 0 0 0 0 0 0 0 ih
m 13 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 13 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
m 13 oo 100.0 0 0 0 0 0 0 0 0 20 0 0 0 oo
m 13 uh 100.0 0 0 0 0 0 0 0 0 0 0 20 0 uh
m 13 uw 75.0 0 0 0 0 0 0 0 4 1 15 0 0 uw
m 14 ae 100.0 0 0 0 0 20 0 0 0 0 0 0 0 ae
m 14 ah 100.0 0 0 0 0 0 20 0 0 0 0 0 0 ah
m 14 aw 95.0 0 0 0 0 0 1 19 0 0 0 0 0 aw
m 14 eh 100.0 0 0 0 20 0 0 0 0 0 0 0 0 eh
m 14 ei 95.0 0 0 19 1 0 0 0 0 0 0 0 0 ei
m 14 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 14 ih 100.0 0 20 0 0 0 0 0 0 0 0 0 0 ih
m 14 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 14 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
m 14 oo 100.0 0 0 0 0 0 0 0 0 20 0 0 0 oo
m 14 uh 85.0 0 0 0 0 0 2 1 0 0 0 17 0 uh
m 14 uw 100.0 0 0 0 0 0 0 0 0 0 20 0 0 uw
m 16 ae 95.0 0 0 0 1 19 0 0 0 0 0 0 0 ae
m 16 ah 25.0 0 0 0 0 0 5 1 0 0 0 14 0 uh
m 16 aw 65.0 0 0 0 0 0 1 13 0 0 0 6 0 aw
m 16 eh 95.0 0 0 0 19 0 0 1 0 0 0 0 0 eh
m 16 ei 95.0 0 0 19 0 0 0 1 0 0 0 0 0 ei
m 16 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 16 ih 100.0 0 20 0 0 0 0 0 0 0 0 0 0 ih
m 16 iy 95.0 19 0 0 0 0 0 0 0 0 1 0 0 iy
m 16 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
m 16 oo 100.0 0 0 0 0 0 0 0 0 20 0 0 0 oo
m 16 uh 95.0 0 0 0 0 0 0 0 0 1 0 19 0 uh
m 16 uw 100.0 0 0 0 0 0 0 0 0 0 20 0 0 uw
m 17 ae 75.0 0 0 0 5 15 0 0 0 0 0 0 0 ae
m 17 ah 75.0 0 0 0 0 0 15 4 0 0 0 1 0 ah
m 17 aw 100.0 0 0 0 0 0 0 20 0 0 0 0 0 aw
m 17 eh 100.0 0 0 0 20 0 0 0 0 0 0 0 0 eh
m 17 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
m 17 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 17 ih 100.0 0 20 0 0 0 0 0 0 0 0 0 0 ih
m 17 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 17 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
m 17 oo 95.0 0 0 0 0 0 0 0 0 19 1 0 0 oo
m 17 uh 100.0 0 0 0 0 0 0 0 0 0 0 20 0 uh
m 17 uw 100.0 0 0 0 0 0 0 0 0 0 20 0 0 uw
m 18 ae 95.0 0 0 0 1 19 0 0 0 0 0 0 0 ae
m 18 ah 95.0 0 0 0 0 0 19 1 0 0 0 0 0 ah
m 18 aw 100.0 0 0 0 0 0 0 20 0 0 0 0 0 aw
m 18 eh 100.0 0 0 0 20 0 0 0 0 0 0 0 0 eh
